,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
DDX1,2007.1828515652148,-0.04260372653632389,0.09032415880360889,-0.4716758738817246,0.6371581603611731,0.8429148481502343,DDX1
TMEM260,337.19881396797064,-0.06372711368647008,0.13542205118436887,-0.4705815126054287,0.6379396122993155,0.8435887534802539,TMEM260
RCE1,596.4945030339732,0.05477538735356351,0.11645453913453482,0.47035854300435553,0.6380988778702468,0.8435996035900164,RCE1
POLR3G,964.023248312788,-0.07711816076286773,0.16397305891141223,-0.47030994771239487,0.6381335913525009,0.8435996035900164,POLR3G
ENSG00000225450,33.317710632141896,-0.2110996299514245,0.44873029693914074,-0.4704376579682005,0.6380423647123674,0.8435996035900164,ENSG00000225450
UTP25,880.6482126133255,-0.056208055581017796,0.11960588493462193,-0.4699438962534479,0.6383951014517865,0.8436256174268026,UTP25
CEP126,143.49157569121095,-0.09618602578238625,0.20466278141044347,-0.4699732170134481,0.6383741528077094,0.8436256174268026,CEP126
FAM83G,1996.909482074315,-0.04822144601111693,0.10257192339123607,-0.47012325026984,0.6382669638802742,0.8436256174268026,FAM83G
PPM1A,1444.6249147055034,0.04530039907965721,0.09639702096465189,0.46993567463322905,0.6384009755599287,0.8436256174268026,PPM1A
ZNF527,75.15773443736995,0.1284967441952477,0.2735728946594779,0.46969837547389465,0.6385705286761589,0.8436715301724975,ZNF527
EIF4HP1,117.28048388959398,-0.10092594092864142,0.21490658406228927,-0.4696270305957155,0.6386215091491444,0.8436715301724975,EIF4HP1
ERICH1,495.685594979296,-0.05786284752163573,0.12319119583735194,-0.4696995359800829,0.6385696994344736,0.8436715301724975,ERICH1
TRIP12,4784.881705280982,0.0387302241723694,0.08255619148733348,0.469137728795444,0.6389711925611308,0.8437243923873495,TRIP12
SEMA6A,337.63442679228837,0.08009645921293626,0.17072758623001752,0.4691477281534577,0.6389640456368773,0.8437243923873495,SEMA6A
UNC13B,1138.6651565861428,0.04889879837156233,0.10420822718663474,0.46924124602931416,0.6388972064514089,0.8437243923873495,UNC13B
DTL,713.33706196161,0.05593499937499984,0.11917483710842552,0.4693524298599213,0.6388177448543619,0.8437243923873495,DTL
LTB4R,569.0019885855666,-0.06297501671552871,0.13420328669919912,-0.46925092718988176,0.6388902872906137,0.8437243923873495,LTB4R
PPP1CA,3286.963286001335,-0.038728279895898714,0.08260252186952351,-0.46885105950000844,0.6391761003452718,0.843913162919523,PPP1CA
UBXN2A,580.7196183515249,0.06185011002017827,0.13197251663613058,0.46865901777647356,0.6393133848791269,0.8439368744701022,UBXN2A
ZNF490,44.028205003344404,0.1655051933265541,0.35321641904912576,0.46856596806032236,0.6393799076125615,0.8439368744701022,ZNF490
ASB8,271.7848560498771,-0.07611488311580569,0.16242890991176626,-0.46860428452762753,0.63935251420467,0.8439368744701022,ASB8
RESF1,2382.551887975748,0.06552798475696897,0.14001016854225137,0.4680230403207775,0.6397681131756774,0.8443674681062054,RESF1
ZCRB1,658.6613586604518,-0.05277764711199908,0.11281126219309763,-0.46784023231351,0.6398988472247167,0.8443764040819755,ZCRB1
SRGAP1,882.8369587159477,-0.062174594251401066,0.1328907927410462,-0.46786231738835204,0.6398830526221257,0.8443764040819755,SRGAP1
LINC03072,49.20293327192809,0.14448414304543136,0.3089642816860629,0.4676402795072636,0.6400418550773811,0.8444015293162078,LINC03072
CCDC159,83.17966234158946,0.11502512426226498,0.24593253122074263,0.46771008166878675,0.6399919304913927,0.8444015293162078,CCDC159
NELFCD,1705.789207393078,-0.04061382031897156,0.08690432897846252,-0.4673394386260881,0.6402570440858828,0.8446036323793921,NELFCD
SDCBP,2844.9446985836453,-0.04036271064191439,0.0864093363847122,-0.46711052683255516,0.6404208030804529,0.844628338677806,SDCBP
LENG8-AS1,58.71011000882322,0.13029923780537764,0.2790837095986531,0.4668822769797614,0.6405841059709743,0.844628338677806,LENG8-AS1
ATXN7L3B,2131.90860223496,-0.043148754202166704,0.09241937796435226,-0.46687994609539485,0.6405857737076335,0.844628338677806,ATXN7L3B
STON1,48.10163526357869,0.1495875879933244,0.32016693293000975,0.46721748128194446,0.6403442877911663,0.844628338677806,STON1
MARCHF9,410.112397722173,-0.06122463833904535,0.1310926210493373,-0.4670334443614731,0.6404759503055566,0.844628338677806,MARCHF9
ZBTB22,426.4250364274758,0.0790255664817947,0.16937478196492484,0.4665722108392724,0.6408059727517731,0.844792627265776,ZBTB22
