Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Oxidative Stress Induced Senescence R-HSA-2559580,1/93,0.2875374646492915,0.42284921271954623,4.479783783783784,5.583611984691812,FOS
Axon Guidance R-HSA-422475,3/519,0.2899754311690433,0.4236977906907961,1.8965272759499885,2.3478231611559046,PIK3R3;SEMA7A;ANK1
Transcriptional Regulation By RUNX3 R-HSA-8878159,1/95,0.2927366553863682,0.4236977906907961,4.3841269841269845,5.385820477169396,CDKN1A
Metabolism Of Nucleotides R-HSA-15869,1/95,0.2927366553863682,0.4236977906907961,4.3841269841269845,5.385820477169396,GDA
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,1/96,0.29532237860123456,0.4252023775672225,4.3378010471204185,5.290762627790504,FOS
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,1/98,0.3004662407097471,0.43017852929529643,4.248,5.107879629194844,DDIT3
L1CAM Interactions R-HSA-373760,1/99,0.3030244432747581,0.43017852929529643,4.204467005076142,5.019888928688697,ANK1
Intracellular Signaling By Second Messengers R-HSA-9006925,2/306,0.3047362729775835,0.43017852929529643,2.282542681692422,2.7123649962347316,PIK3R3;CDKN1A
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,1/101,0.3081135498012108,0.43017852929529643,4.12,4.850422010548631,FOS
ABC-family Proteins Mediated Transport R-HSA-382556,1/102,0.31064451679269645,0.43017852929529643,4.079014778325123,4.768800869182928,ABCA12
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,1/102,0.31064451679269645,0.43017852929529643,4.079014778325123,4.768800869182928,FOS
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,1/103,0.3131664681127964,0.43017852929529643,4.038829268292683,4.689163103204613,FOS
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,1/103,0.3131664681127964,0.43017852929529643,4.038829268292683,4.689163103204613,FOS
Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,1/104,0.3156794350116713,0.43017852929529643,3.9994202898550726,4.611443683794027,SLC15A2
Nervous System Development R-HSA-9675108,3/545,0.3161167578910659,0.43017852929529643,1.8009086778736938,2.074005037055129,PIK3R3;SEMA7A;ANK1
Integration Of Energy Metabolism R-HSA-163685,1/105,0.318183448634161,0.43017852929529643,3.9607655502392345,4.535580285334498,RAPGEF4
Post-translational Protein Phosphorylation R-HSA-8957275,1/106,0.3206785400201301,0.43017852929529643,3.9228436018957344,4.4615131492656985,IGFBP3
"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",1/106,0.3206785400201301,0.43017852929529643,3.9228436018957344,4.4615131492656985,PIK3R3
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,1/106,0.3206785400201301,0.43017852929529643,3.9228436018957344,4.4615131492656985,FOS
MyD88-independent TLR4 Cascade R-HSA-166166,1/107,0.3231647401048101,0.4314092404311785,3.8856338028169013,4.389184955980682,FOS
Degradation Of Extracellular Matrix R-HSA-1474228,1/109,0.32811058959012723,0.4338000583523317,3.8132718894009217,4.249527597474812,COL17A1
Signaling By B Cell Receptor (BCR) R-HSA-983705,1/109,0.32811058959012723,0.4338000583523317,3.8132718894009217,4.249527597474812,CD22
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,1/112,0.3354634464608393,0.44139927165899906,3.7095964125560537,4.051778046990563,FOS
Negative Regulation Of PI3K/AKT Network R-HSA-199418,1/113,0.33789694256130043,0.442484091449322,3.676266666666667,3.9888020276768734,PIK3R3
Signaling By NTRK1 (TRKA) R-HSA-187037,1/114,0.34032176100604544,0.4435473188467417,3.64352422907489,3.92722269963962,FOS
Transcriptional Regulation By RUNX2 R-HSA-8878166,1/119,0.35231673871014774,0.45486902885112973,3.488101265822785,3.63887333418297,CDKN1A
Estrogen-dependent Gene Expression R-HSA-9018519,1/119,0.35231673871014774,0.45486902885112973,3.488101265822785,3.63887333418297,FOS
Cell-Cell Communication R-HSA-1500931,1/120,0.35469011999549155,0.4557933784988793,3.4585774058577408,3.58485273741064,COL17A1
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,1/123,0.361759567350366,0.4605735232469938,3.3728979591836734,3.429479895605107,IGFBP3
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,1/123,0.361759567350366,0.4605735232469938,3.3728979591836734,3.429479895605107,CD22
Platelet Degranulation R-HSA-114608,1/125,0.36643057799294687,0.46437054814774376,3.3180722891566266,3.331166047586996,THBS1
Cardiac Conduction R-HSA-5576891,1/126,0.36875358436464434,0.4651708059645743,3.2913147410358565,3.2835033026986573,NANOS1
Glycerophospholipid Biosynthesis R-HSA-1483206,1/127,0.3710682966867655,0.46595334058840415,3.26498023715415,3.236800666842721,SH2D3C
G1/S Transition R-HSA-69206,1/129,0.3756729543467766,0.4681973566737287,3.2135408560311283,3.1461732021576774,CDKN1A
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,1/130,0.3779629570238828,0.4681973566737287,3.1884169884169884,3.1021992771022893,THBS1
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,1/130,0.3779629570238828,0.4681973566737287,3.1884169884169884,3.1021992771022893,FOS
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,1/131,0.380244780330485,0.4689117246227954,3.1636781609195403,3.059087197810938,VIPR1
Signaling By NTRKs R-HSA-166520,1/132,0.3825184526945943,0.4696097075491671,3.139315589353612,3.016814423619409,FOS
ER To Golgi Anterograde Transport R-HSA-199977,1/133,0.38478400244815275,0.47029155854774224,3.115320754716981,2.97535915891016,ANK1
GPCR Downstream Signaling R-HSA-388396,3/619,0.39068611393132935,0.4753923952704229,1.5729070285459716,1.478297959091324,PIK3R3;PTAFR;VIPR1
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,1/140,0.400417777481717,0.48349485847580853,2.956989247311828,2.706375044472781,FOS
Signal Transduction R-HSA-162582,10/2465,0.4012151058423293,0.48349485847580853,1.19978780181976,1.0957152947478914,PIK3R3;ACTA2;DACT1;ALDH1A3;VIPR1;PTAFR;FOS;CDKN1A;THBS1;RAPGEF4
C-type Lectin Receptors (CLRs) R-HSA-5621481,1/141,0.40261935487621875,0.48349485847580853,2.935658362989324,2.6707553914303346,MUC19
Immune System R-HSA-168256,8/1943,0.40719189330271427,0.4868598724271584,1.226272704558063,1.1017701226453924,PIK3R3;CD22;MUC19;PTAFR;FOS;CDKN1A;NANOS1;RAPGEF4
Mitotic G1 Phase And G1/S Transition R-HSA-453279,1/147,0.41566446481907066,0.49483864859413174,2.813788395904437,2.4701598880849023,CDKN1A
G Alpha (S) Signaling Events R-HSA-418555,1/153,0.42843204308141186,0.5056601366840698,2.7015081967213113,2.289860876911489,VIPR1
Cellular Response To Starvation R-HSA-9711097,1/153,0.42843204308141186,0.5056601366840698,2.7015081967213113,2.289860876911489,DDIT3
Disease R-HSA-1643685,7/1736,0.44404244436087537,0.5207840973307409,1.2008012224837896,0.9748526114096323,PIK3R3;VIPR1;CYP1B1;MUC19;ABCA12;CDKN1A;THBS1
S Phase R-HSA-69242,1/161,0.4450336831735422,0.5207840973307409,2.5648598130841123,2.0765241167830624,CDKN1A
Toll-like Receptor Cascades R-HSA-168898,1/162,0.4470755809310369,0.5209567150679455,2.548730650154799,2.051798553525518,FOS
Transport To Golgi And Subsequent Modification R-HSA-948021,1/164,0.4511374545658143,0.5234717299814301,2.517064220183486,2.0035408542511135,ANK1
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,1/165,0.4531574813674128,0.5236063335127669,2.501519756838906,1.9799918435164625,VIPR1
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,2/424,0.45813582240050166,0.5267560397914228,1.625922023182297,1.2691777946715865,PIK3R3;CDKN1A
